Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
76,300501,124,BRICK 1X1,White,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,6552096,300551 6548258,3005 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300501
77,4558952,11,BRICK 1X1 W. 1 KNOB,White,87087,Brick 1 x 1 with Stud on 1 Side,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,yes,6550190,,87087 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4558952
78,300401,32,BRICK 1X2,White,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,6548257,4613964,3004 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300401
79,362201,24,BRICK 1X3,White,3622,Brick 1 x 3,On Pick a Brick (late-2025 listing),0.14,late 2025,yes,6550143,,3622 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=362201
80,301001,30,BRICK 1X4,White,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,yes,6550135,,3010 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=301001
81,300901,26,BRICK 1X6,White,3009,Brick 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,yes,6552097,300951 6548259,3009 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300901
82,300801,58,BRICK 1X8,White,3008,Brick 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.29,2022,yes,6550134,,3008 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300801
83,306201,2,ROUND BRICK 1X1,White,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,6619283,,3062 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306201
84,4518400,2,NOSE CONE SMALL 1X1,White,59900,Cone 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6601844,458901,4589b / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4518400
85,6047813,4,FENCE 1X4X2 W. 4 KNOBS,White,15332,Fence Spindled 1 x 4 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.36,2022,,6615529,,15332 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6047813
86,302401,8,PLATE 1X1,White,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,6548262,,3024 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302401
87,362301,12,PLATE 1X3,White,3623,Plate 1 x 3,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,6552105,6550144,3623 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=362301
88,366601,5,PLATE 1X6,White,3666,Plate 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,6552107,6548265,3666 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=366601
89,346001,3,PLATE 1X8,White,3460,Plate 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,,6550141,,3460 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=346001
90,302101,37,PLATE 2X3,White,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,6550136,,3021 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302101
91,302001,12,PLATE 2X4,White,3020,Plate 2 x 4,On Pick a Brick (late-2025 listing),0.14,late 2025,yes,6552098,,3020 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302001
92,379501,11,PLATE 2X6,White,3795,Plate 2 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026 (including sets listed for 2027),0.19,2022,yes,6550146,,3795 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=379501
93,303401,14,PLATE 2X8,White,3034,Plate 2 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,yes,6552101,,3034 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=303401
94,614101,30,ROUND PLATE 1X1,White,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,6601919,,4073 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=614101
95,366501,6,ROOF TILE 1X2 INV.,White,3665,Slope 45 2 x 1 Inverted,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,6552106,,3665 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=366501
96,6172927,2,(not listed),White,24201,Slope Curved 2 x 1 Inverted,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,,24201 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6172927
97,4249112,6,Brick w/bow 1/3,White,50950,Slope Curved 3 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,6548268,,50950 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4249112
98,307001,3,FLAT TILE 1X1,White,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,6550138,,3070 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=307001
99,306901,2,FLAT TILE 1X2,White,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6548264,,3069 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306901
100,243101,2,FLAT TILE 1X4,White,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,6548255,,2431 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=243101
101,663601,3,FLAT TILE 1X6,White,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,6548296,,6636 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=663601
